web_name,team,pos,price,owned_pct,total_points,form,minutes,starts,goals_scored,assists,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,defensive_contribution,transfers_in_event,transfers_out_event,net_transfers_event,cost_change_event,status,chance_of_playing_next_round
João Pedro,CHE,FWD,7.8,75.2,33,8.2,360,4,3,3,2.17,0.19,2.36,6.17,9,179644,13373,166271,0.1,a,
Haaland,MCI,FWD,15.5,72.3,33,8.2,360,4,4,0,3.33,0.51,3.84,3.68,18,83452,14203,69249,0.0,a,
Calafiori,ARS,DEF,5.8,50.1,28,7.0,326,4,0,2,0.60,0.59,1.19,2.45,13,142918,32097,110821,0.0,a,
B.Fernandes,MUN,MID,12.0,41.8,29,7.2,360,4,3,1,2.28,1.13,3.41,5.18,23,36297,140358,-104061,0.0,a,
Raya,ARS,GKP,6.0,40.4,29,7.2,360,4,0,0,0.00,0.01,0.01,2.72,0,146688,25809,120879,0.0,a,
Rogers,CHE,MID,7.7,37.5,27,6.8,347,4,3,1,1.39,1.16,2.55,6.08,23,368602,22834,345768,0.1,a,
Szoboszlai,LIV,MID,7.0,36.3,18,4.5,360,4,1,0,1.29,0.80,2.09,5.33,35,33180,253873,-220693,0.0,a,
Cherki,MCI,MID,7.8,28.5,26,6.5,218,3,2,2,0.59,1.41,2.00,1.82,7,69228,147330,-78102,0.0,a,
Palmer,CHE,MID,9.7,26.8,26,6.5,352,4,2,2,1.18,0.61,1.79,6.08,23,82665,76180,6485,0.0,a,100
De Cuyper,BHA,DEF,4.8,23.6,32,8.0,333,4,1,3,1.53,0.44,1.97,6.95,9,210176,50063,160113,0.0,a,
Gabriel,ARS,DEF,8.0,23.5,24,6.0,360,4,0,0,0.51,0.06,0.57,2.72,32,23458,54668,-31210,0.0,a,
Gvardiol,MCI,DEF,5.7,22.9,33,8.2,344,4,1,2,0.22,0.11,0.33,3.68,24,256051,18463,237588,0.1,a,
Mbeumo,MUN,MID,7.9,22.9,23,5.8,360,4,2,1,2.80,0.55,3.35,5.18,22,43879,116454,-72575,0.0,a,
Calvert-Lewin,LEE,FWD,6.0,22.4,20,5.0,329,4,2,1,2.48,0.08,2.56,3.79,14,116701,83240,33461,0.0,a,
Isak,LIV,FWD,9.1,22.1,25,6.2,333,4,3,0,2.79,0.06,2.85,5.16,6,55387,119267,-63880,0.0,a,
Verbruggen,BHA,GKP,4.5,22.0,17,4.2,360,4,0,0,0.00,0.20,0.20,7.04,0,42205,60039,-17834,0.0,a,
Ødegaard,ARS,MID,6.7,19.3,27,6.8,305,4,2,0,1.01,1.30,2.31,2.46,21,165290,56810,108480,0.0,a,
Groß,BHA,MID,5.6,18.5,33,8.2,360,4,2,3,1.66,0.61,2.27,7.04,21,275510,42296,233214,0.0,a,
Guéhi,MCI,DEF,6.0,18.5,26,6.5,360,4,1,0,0.89,0.38,1.27,3.68,25,42358,35846,6512,0.0,a,
Kinsky,TOT,GKP,4.5,18.5,16,4.0,360,4,0,0,0.00,0.00,0.00,6.62,0,43587,39292,4295,0.0,a,
Wissa,NEW,FWD,6.2,18.3,15,3.8,351,4,1,1,1.51,0.05,1.56,6.38,22,110959,94500,16459,0.0,a,
Konsa,ARS,DEF,4.5,18.0,11,2.8,191,2,0,0,0.00,0.01,0.01,2.19,19,168421,25996,142425,0.0,a,
Dubravka,TOT,GKP,4.0,17.6,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,25552,41105,-15553,0.0,a,
