web_name,team,pos,price,owned_pct,total_points,form,minutes,starts,goals_scored,assists,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,defensive_contribution,transfers_in_event,transfers_out_event,net_transfers_event,cost_change_event,status,chance_of_playing_next_round
João Pedro,CHE,FWD,7.8,74.9,33,8.2,360,4,3,3,2.17,0.19,2.36,6.17,9,144695,9657,135038,0.1,a,
Haaland,MCI,FWD,15.5,72.1,33,8.2,360,4,4,0,3.33,0.51,3.84,3.68,18,62629,11716,50913,0.0,a,
Calafiori,ARS,DEF,5.8,50.0,28,7.0,326,4,0,2,0.60,0.59,1.19,2.45,13,115222,23619,91603,0.0,a,
B.Fernandes,MUN,MID,12.0,42.1,29,7.2,360,4,3,1,2.28,1.13,3.41,5.18,23,28707,102517,-73810,0.0,a,
Raya,ARS,GKP,6.0,40.1,29,7.2,360,4,0,0,0.00,0.01,0.01,2.72,0,114656,19421,95235,0.0,a,
Rogers,CHE,MID,7.7,36.9,27,6.8,347,4,3,1,1.39,1.16,2.55,6.08,23,295325,15974,279351,0.1,a,
Szoboszlai,LIV,MID,7.0,36.8,18,4.5,360,4,1,0,1.29,0.80,2.09,5.33,35,24892,196663,-171771,0.0,a,
Cherki,MCI,MID,7.8,28.7,26,6.5,218,3,2,2,0.59,1.41,2.00,1.82,7,53187,112143,-58956,0.0,a,
Palmer,CHE,MID,9.7,26.8,26,6.5,352,4,2,2,1.18,0.61,1.79,6.08,23,63299,59054,4245,0.0,a,100
Gabriel,ARS,DEF,8.0,23.6,24,6.0,360,4,0,0,0.51,0.06,0.57,2.72,32,18137,42491,-24354,0.0,a,
De Cuyper,BHA,DEF,4.8,23.2,32,8.0,333,4,1,3,1.53,0.44,1.97,6.95,9,157622,38783,118839,0.0,a,
Mbeumo,MUN,MID,7.9,23.1,23,5.8,360,4,2,1,2.80,0.55,3.35,5.18,22,33387,85282,-51895,0.0,a,
